TÍTULO AUTOR GÉNERO AÑO
El pedestal de las estatuas Gala, A. Narrativa 2007
El manuscrito carmesí Gala, A. Narrativa 2010
Dos velas para el diablo Gallego, L. Fantástico 2008
La última cripta Gamboa, F. Narrativa 2010
El ejército negro García-Clairac, S. Fantástico 2006
En tierra de lobos García Jambrina, L. Policíaca 2013
La mala hora García Márquez, G. Narrativa 2009
La hojarasca García Márquez, G. Realismo mágico 1986
Todos los cuentos García Márquez, G. Realismo mágico 2002
Cronica de una muerte anunciada García Márquez, G. Narrativa 2001
El coronel no tiene quien le escriba García Márquez, G. Narrativa 2001
El silencio de la ciudad blanca García Sáenz de Urturi, E. Thriller 2015
Los ritos del agua García Sáenz de Urturi, E. Thriller 2016
Los señores del tiempo García Sáenz de Urturi, E. Thriller 2018
El libro de las hojas negras García Sáenz de Urturi, E. Thriller 2022
Deseo rebelde Garwood, J. Romántico 2006
Siempre Alice Génova, L. Narrativa 2009
Los monederos falsos Gide, A. Clásico 1984
Come, reza, ama Gilbert, E. Biografía 2010
Migraña, una pesadilla cerebral Goicoechea, A. Autoayuda 2012
Pupila de águila Gómez Cerdá, A. Juvenil 1987
Reina roja Gómez Jurado, J. Thriller 2018
Loba negra Gómez Jurado, J. Thriller 2019
Rey blanco Gómez Jurado, J. Thriller 2020
Crónica sentimental en rojo González Ledesma, F. Narrativa 1984
Un arma en casa Gordimer, N. Narrativa 2006
El médico Gordon, N. Histórica 1986
La Doctora Cole Gordon, N. Novela médica 1995
Días de infancia Gorki, M. Clásico 1984
Señas de identidad Goytisolo, J. Narrativa 2001
La madre de Frankenstein Grandes, A. Ficción 2020
Las edades de Lulú Grandes, A. Narrativa 2001
No me iré sin decirte a dónde voy Gounelle, L. Novela Psicológica 2010
Nuestro hombre en La Habana Greene, G. Clásico 1984
El poder y la gloria Greene, G. Clásico 1984
El americano impasible Greene, G. Clásico 1984
Las cortesanas Griffin, S. Ensayo 2007
El abrigo verde Gripe, M. Juvenil 2000
Causa justa Grisham, J. Thriller 1998
Cántico Guillén J. Clásico 1984
Sapiens: De animales a dioses Harari, Y. N. Ensayo 2014
La casa del arpa Harrison, P. Histórica 2018
Escrito en el agua Hawkins, P. Novela negra 2017
París era una fiesta Hemingway, H. Clásico 1984
Islas a la deriva Hemingway, H. Clásico 1984
Por quién doblan las campanas Hemingway, H. Clásico 1984
Adiós a las armas Hemingway, H. Romance histórico 1987
Miguel Hernández para niños y jóvenes Hernández, M. Poesía 2010
Narciso y Goldmundo Hesse, H. Clásico 1984
Un grito en la noche Higgins Clark, M. Suspense 1984
El talento de Mr. Ripley Highsmith, P. Thriller 1955
El traje del muerto Hill, J. Terror 2007
Esto ya es otra historia Hinton, S.E. Juvenil 1997
La masai blanca Hoffman, C. Aventuras 1998
Días perdidos Hombacher, M. Autoayuda 1999
El león dormido Izaguirre, M. Ficción 2010
Trlogía La villa de las telas Jacobs, A. Ficción 2014
Otra vuelta de tuerca James, H. Clásico 1984
Sangre inocente James, P.D. Policíaca 1981
Un impulso criminal James, P.D. Policíaca 1988
Intrigas y deseos James, P.D. Policíaca 1989
Pasiones Romanas Janer, M. P. Narrativa 2005
Poesía y Prosa Jiménez, J.R. Clásico 1984
Retrato del artista adolescente Joyce, J. Clásico 1984
El proceso, El castillo Kafka, F. Clásico 1984
El gran libro de los enigmas de Oriente Karim El, Y. Matemático 2001
La canción de Nadia Khashoggi, S. Ficción 2002
Eclipse total King, S. Terror 1992
La insoportable levedad del ser Kundera, M. Novela filosófica 1984
Tormenta de nieve y aroma de almendras Läckberg, C. Novela negra 2016
La bruja Láckberg, C. Novela negra 2018
Memorias Lagunero, T. Autobiografía 2009
Rejas ocultas Lakho, H. Narrativa 2004
Julieta, Romeo y los ratones Landa, M. Infantil 1994
Lluvia fina Landero, L. Ficción 2019
En el país de la nube blanca Lark, sarah Aventuras 2011
La canción del mirlo Lauck, J. Autobiografía 2003
Amores Léautand, P. Narrativa 1987
El bosque sabe tu nombre Leceaga, L. Narrativa 2018
Cárceles de mujeres Lewis, S. Narrativa 1973
El país pequeño Lint de, Ch. Fantástico 1991
La esfera luminosa Liu, C. Ciencia-ficción 2019
La puerta Loureiro, M. Thriller 2020
La ladrona de los huesos Loureiro, M. Thriller 2022
La vida privada de los Seymour Lozano Madariaga, I. Ficción 2009
Poesías Machado, A. Poesía 1984
La condición humana Malraux, A. Clásico 1984
La muerte en Venecia Mann, T. Clásico 1984
El Garden Party y otros cuentos Mansfield, K. Clásico 1984
Últimas tardes con Teresa Marsé, J. Narrativa 1980
Si te dicen que caí Marsé, J. Narrativa 1983
Entre visillos Martín Gaite, C. Ficción 1988
Flanagan 007 Martín, A. Novela negra 1998
Juego de tronos. Canción de hielo y fuego Martin, G. Fantástico 1996
El faro del silencio Martín, I. Novela negra 2014
El bucle infinito Martin, Is. Aventuras 2021
Tiempo de silencio Martín, S. L. Clásico 1984
Pequeño teatro Matute, A. M. Narrativa 2001
Rebeca Maurier De, D. Clásico 1985
¿Y si lo probamos…? Maxwell, M. Erótica 2022
La balada del café triste McCullers, C. Clásico 1984
Moby Dick Melville, H. Aventuras 2001
Los girasoles ciegos Méndez, A. Ficción 2004
Sin noticias de Gurb Mendoza, E. Cómica 2000
El misterio de la cripta embrujada Mendoza, E. Misterio 1980
La ciudad de los prodigios Mendoza, E. Narrativa 2001
Las palabras del mundo Merino, J. M. Cuento 1998
La hija del Ganges Miró, A. Autobiografía 2003
Lo que el viento se llevó Mitchell M. Romance histórico 1992
Te trataré como a una reina Montero, R. Narrativa 1984
La buena suerte Montero, R. Ficción 2020
El invierno en tu rostro Montero, C. Narrativa 2016
La Romana Moravia, A. Clásico 1984
Los pecados de Inés de Hinijosa Morales, P. Histórica 1989
La campesina Moravia, A. Clásico 1984
Kathleen Morley, Ch. Comedia 2016
De parte de la princesa muerta Mourad, K. Ficción 1993
Bomarzo Mújica Laínez, M. Narrativa 2001
Mi hermana Frida Mújica, B. Biografía 2001
